Round,robust_sym20,ce_sym20,ce_sym60,robust_sym60
1,0.2399,0.3616,0.129,0.1254
2,0.2986,0.4753,0.2916,0.1717
3,0.3395,0.5174,0.3713,0.2513
4,0.3731,0.555,0.411,0.2607
5,0.3953,0.5749,0.4333,0.2586
6,0.4166,0.5983,0.4512,0.2551
7,0.4431,0.6093,0.4592,0.3053
8,0.4587,0.6309,0.4659,0.325
9,0.4651,0.6381,0.4767,0.3313
10,0.469,0.6465,0.4843,0.3473
11,0.4847,0.6554,0.4999,0.3554
12,0.4927,0.665,0.4947,0.3657
13,0.5026,0.6708,0.506,0.3714
14,0.507,0.6786,0.5123,0.3782
15,0.5192,0.6756,0.518,0.387
16,0.5235,0.6852,0.5222,0.3933
17,0.5301,0.6852,0.5268,0.4009
18,0.5309,0.6872,0.5228,0.4028
19,0.5344,0.6869,0.527,0.4088
20,0.5453,0.6908,0.5234,0.4107
21,0.55,0.6911,0.5305,0.4171
22,0.5544,0.6925,0.5298,0.4106
23,0.5582,0.6917,0.5352,0.4254
24,0.5615,0.6893,0.529,0.4261
25,0.5652,0.6945,0.5334,0.4312
26,0.5659,0.6935,0.5345,0.4348
27,0.5735,0.6896,0.5321,0.44
28,0.5724,0.6871,0.5289,0.4369
29,0.5776,0.6862,0.5284,0.4427
30,0.583,0.6838,0.5291,0.4425
31,0.5855,0.6846,0.5236,0.4517
32,0.5867,0.6808,0.5213,0.4544
33,0.5906,0.677,0.5187,0.4505
34,0.5949,0.6748,0.5153,0.4641
35,0.5945,0.6718,0.5112,0.4542
36,0.602,0.6673,0.511,0.4662
37,0.6015,0.6633,0.5033,0.4691
38,0.6048,0.6687,0.5042,0.4713
39,0.6079,0.6598,0.4962,0.4769
40,0.6125,0.6584,0.4874,0.475
41,0.6127,0.6522,0.4886,0.4739
42,0.6161,0.6536,0.4828,0.4837
43,0.6179,0.65,0.4823,0.4846
44,0.6217,0.6448,0.4814,0.4882
45,0.623,0.6406,0.4742,0.4869
46,0.62,0.638,0.4676,0.4909
47,0.6268,0.6288,0.4641,0.488
48,0.63,0.6296,0.4549,0.4914
49,0.6274,0.6252,0.4473,0.4904
50,0.6326,0.6239,0.4459,0.4942
51,0.6277,0.6196,0.4453,0.4979
52,0.6369,0.6133,0.4373,0.5015
53,0.6347,0.6161,0.4345,0.5002
54,0.6346,0.6113,0.4283,0.5047
55,0.6355,0.6077,0.4248,0.5042
56,0.6374,0.6063,0.4267,0.5076
57,0.64,0.5996,0.4189,0.5057
58,0.638,0.6001,0.4093,0.5057
59,0.6435,0.5981,0.4028,0.5085
60,0.6455,0.5924,0.3962,0.5131
61,0.6474,0.5933,0.3984,0.5101
62,0.6456,0.5899,0.3964,0.5125
63,0.6483,0.5865,0.3861,0.5109
64,0.6507,0.5857,0.3877,0.515
65,0.6507,0.5876,0.3826,0.5137
66,0.6502,0.5835,0.3795,0.5149
67,0.6493,0.5843,0.3759,0.5146
68,0.6521,0.5797,0.3722,0.5178
69,0.6537,0.5714,0.3668,0.5186
70,0.6528,0.5764,0.3661,0.5211
71,0.6568,0.5784,0.3606,0.5277
72,0.6585,0.5734,0.3608,0.5261
73,0.6568,0.5732,0.3592,0.5245
74,0.6596,0.5723,0.3458,0.525
75,0.6567,0.5668,0.3539,0.5278
76,0.6601,0.5675,0.3439,0.5291
77,0.6583,0.568,0.3448,0.5266
78,0.6623,0.5705,0.3398,0.5288
79,0.6652,0.5688,0.3418,0.5268
80,0.6615,0.5731,0.3321,0.5296
81,0.663,0.5663,0.3284,0.5285
82,0.6618,0.5672,0.3321,0.5311
83,0.6627,0.5598,0.3259,0.5318
84,0.6642,0.5653,0.3255,0.5287
85,0.665,0.566,0.3221,0.534
86,0.665,0.5616,0.3206,0.537
87,0.6659,0.554,0.3137,0.5342
88,0.6646,0.5606,0.3201,0.5314
89,0.6667,0.5576,0.3117,0.5375
90,0.666,0.5575,0.3153,0.5319
