round,accuracy
1,0.3984
2,0.489
3,0.5286000000000001
4,0.5666
5,0.5881
6,0.6086
7,0.627
8,0.6438
9,0.6552
10,0.6639
11,0.6715
12,0.6764
13,0.6806
14,0.681
15,0.6900000000000001
16,0.6854
17,0.6904
18,0.6945
19,0.6927
20,0.6940999999999999
21,0.6994
22,0.697
23,0.7
24,0.6995
25,0.7011999999999999
26,0.7045999999999999
27,0.7049
28,0.7016
29,0.6988
30,0.7049
31,0.7006
32,0.6980999999999999
33,0.6992
34,0.6997
35,0.6994
36,0.6975
37,0.6973
38,0.6960999999999999
39,0.6984
40,0.6925
41,0.6984999999999999
42,0.6923999999999999
43,0.6963999999999999
44,0.6913
45,0.6928
46,0.6921
47,0.6931
48,0.6897
49,0.6881
50,0.6864
